id,title,popularity,release_date,launch Month,launch Year ,vote_average,vote_count
704,A Hard Day's Night,16.727,7/7/1964,7,1964,7.4,609
14534,Rudy,26.526,9/17/1993,9,1993,7.4,598
25623,House,12.434,8/26/1977,8,1977,7.4,568
16372,The Innocents,12.317,12/15/1961,12,1961,7.4,528
13382,Rudolph the Red-Nosed Reindeer,35.3,12/6/1964,12,1964,7.4,511
250538,The Good Lie,19.289,9/10/2014,9,2014,7.4,459
8333,The Taking of Pelham One Two Three,14.533,10/2/1974,10,1974,7.4,444
3009,The Trial,14.509,12/21/1962,12,1962,7.4,430
11421,C.R.A.Z.Y.,13.61,5/27/2005,5,2005,7.4,428
16646,Russian Ark,13.592,5/22/2002,5,2002,7.4,414
26638,Red Desert,11.35,9/4/1964,9,1964,7.4,409
32909,Mulan: Rise of a Warrior,26.732,11/26/2009,11,2009,7.4,397
527,Once Were Warriors,18.972,9/2/1994,9,1994,7.4,376
673595,"Maggie Simpson in ""Playdate with Destiny""",14.478,2/29/2020,2,2020,7.4,334
46919,Daisies,11.561,12/30/1966,12,1966,7.4,320
31767,The Devils,15.285,7/16/1971,7,1971,7.4,319
370172,No Time to Die,96.2,9/29/2021,9,2021,7.399,5597
14283,The Red Violin,18.628,9/10/1998,9,1998,7.399,375
109689,I Want You,57.22,6/22/2012,6,2012,7.398,1752
659959,Summer of 85,17.318,7/14/2020,7,2020,7.398,724
427,Mon Oncle,16.233,5/10/1958,5,1958,7.398,487
10549,Hamlet,20.237,12/25/1996,12,1996,7.398,426
912598,Bubble,28.199,2/14/2022,2,2022,7.398,359
985,Eraserhead,21.512,3/19/1977,3,1977,7.397,2221
395991,Only the Brave,37.624,9/22/2017,9,2017,7.397,1431
11901,High Plains Drifter,33.765,4/19/1973,4,1973,7.397,1034
533444,Waves,26.097,11/15/2019,11,2019,7.397,587
447332,A Quiet Place,54.293,4/3/2018,4,2018,7.396,13214
87827,Life of Pi,52.225,11/20/2012,11,2012,7.396,12497
2898,As Good as It Gets,30.452,12/19/1997,12,1997,7.396,3503
414425,Mudbound,24.941,11/16/2017,11,2017,7.396,1158
10849,The Purple Rose of Cairo,15.386,3/1/1985,3,1985,7.396,925
1040148,"Ruby Gillman, Teenage Kraken",182.232,6/28/2023,6,2023,7.396,758
813258,Monster Pets: A Hotel Transylvania Short,34.488,4/2/2021,4,2021,7.396,374
763,Braindead,18.436,8/13/1992,8,1992,7.395,1484
31522,A Woman Is a Woman,8.659,9/6/1961,9,1961,7.395,336
621,Grease,55.574,7/7/1978,7,1978,7.394,6806
350312,Bāhubali 2: The Conclusion,47.009,4/27/2017,4,2017,7.394,662
377263,Frantz,15.005,9/7/2016,9,2016,7.394,634
458131,The Best of Enemies,14.969,4/5/2019,4,2019,7.394,376
818647,Through My Window,85.134,2/4/2022,2,2022,7.393,2770
49020,Submarine,12.385,3/18/2011,3,2011,7.393,1341
153,Lost in Translation,36.324,9/18/2003,9,2003,7.392,6800
376867,Moonlight,30.558,10/21/2016,10,2016,7.392,6688
1669,The Hunt for Red October,44.337,3/2/1990,3,1990,7.391,2986
9361,The Last of the Mohicans,40.398,8/26/1992,8,1992,7.391,2808
11416,The Mission,15.54,9/24/1986,9,1986,7.391,1286
5723,Once,15.171,3/23/2007,3,2007,7.391,1211
595975,La Belle Époque,26.017,11/6/2019,11,2019,7.391,919
26596,Johnny Guitar,14.686,5/26/1954,5,1954,7.391,377
273481,Sicario,65.596,9/17/2015,9,2015,7.39,7934
9426,The Fly,48.59,8/15/1986,8,1986,7.39,4026
10474,The Basketball Diaries,28.193,4/21/1995,4,1995,7.39,1816
111969,Stuck in Love,21.877,6/14/2013,6,2013,7.39,1809
350,The Devil Wears Prada,81.037,6/29/2006,6,2006,7.389,11206
8681,Taken,74.679,2/18/2008,2,2008,7.389,10531
575,The Experiment,15.281,3/7/2001,3,2001,7.389,996
818750,The In Between,49.946,2/11/2022,2,2022,7.389,637
284054,Black Panther,86.107,2/13/2018,2,2018,7.388,21197
14645,Santa Claus Is a Stinker,9.989,8/25/1982,8,1982,7.388,870
8810,Mad Max 2,44.841,12/24/1981,12,1981,7.387,3334
5123,August Rush,35.291,11/21/2007,11,2007,7.387,2536
406385,I Can Quit Whenever I Want 2: Masterclass,9.852,2/2/2017,2,2017,7.387,1172
387426,Okja,38.298,6/28/2017,6,2017,7.386,4032
4476,Legends of the Fall,40.07,12/16/1994,12,1994,7.386,2360
9454,EverAfter,31.579,7/31/1998,7,1998,7.386,1356
245913,Pelé: Birth of a Legend,23.539,5/6/2016,5,2016,7.386,1013
10784,Cabaret,13.905,2/13/1972,2,1972,7.385,814
11589,Kelly's Heroes,29.746,6/22/1970,6,1970,7.385,645
